$$Component_Title,$$Component_Description,$$Component_Type,$$Control_Id_List,$$Rule_Id,$$Rule_Description,$Parameter_Id,$Parameter_Description,$Parameter_Value_Alternatives,$Parameter_Value_Default,$$Profile_Source,$$Profile_Description,Rule_Actual_State_Data_Request_Evidence_Format_Reference_URL_list,Rule_Actual_State_TimeToLive,$Check_Id,$Check_Description,Fetcher_id,Fetcher_Description,Fix_id,Fix_Description,Rule_implementation_status,Rule_POAM_Reference_URL,$$Namespace
A human readable name for the component.,A description of the component including information about its function.,A category describing the purpose of the component. ALLOWED VALUES interconnection:software:hardware:service:physical:process-procedure:plan:guidance:standard:validation:,A list of textual labels that uniquely identify the controls or statements that the component implements.,A textual label that uniquely identifies a policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the policy (desired state) including information about its purpose and scope.,A textual label that uniquely identifies the parameter associated with that policy (desired state) or controls implemented by the policy (desired state).,A description of the parameter including the purpose and use of the parameter.,ONLY for the policy (desired state) parameters: A value or set of values the parameter can take. The catalog parameters values are defined in the catalog. ,"A value recommended by Compliance Team in this profile for the parameter of the control or policy (desired state). If a CIS-benchmark exists, the default default could be the CIS-benchmark recommanded value.",A URL reference to the source catalog or profile for which this component is implementing controls for. A profile designates a selection and configuration of controls from one or more catalogs,A description of the profile.,A list of URL references that contain the Actual State Data Model (eg schema or swager API or procedure template or terraform schema). Needed by the fetcher developer. ,A TimeToLive value of the duration of time the actual state is valid before it becomes stale or obsolite or overriden. Needed by the fetcher developer. ,A textual label that uniquely identifies a check of the policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the check of the policy (desired state) including the method (interview or examine or test) and procedure details.,A textual label that uniquely identifies a collector of the actual state (evidence) associated with the policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the collector of the actual state (evidence) associated with the policy (desired state) including the method (interview or examine or API) and questionaire or API details.,A textual label that uniquely identifies the fix of the failed policy.,A description of the fix to remediate the failed policy.,Indicates the degree to which the a given policy is implemented. ALLOWED VALUES: IMPLEMENTED: The control is fully implemented. PARTIAL: The control is partially implemented. PLANNED: There is a plan for implementing the control as explained in the remarks. ALTERNATIVE: There is an alternative implementation for this control as explained in the remarks. NOT-APPLICABLE: This control does not apply to this system as justified in the remarks.,A URL reference to the Plan of Action and Milestones this component may be subjected to for remediation or deviation or mitigation in case of the policy (desired state) non compliance or error or failure. ,"A namespace qualifying the property's name. This allows different organizations to associate distinct semantics with the same name. Used in conjunction with ""class"" as the ontology concept. "
AWS Cloud Infrastructure,Multi-cloud infrastructure security controls for AWS,Service,KSI-CNA-01,ksi-cna-01-aws,Restrict network traffic to only traffic from vetted locations or resources (AWS),allowed_ingress_cidrs,CIDR blocks allowed for network ingress traffic,"[""10.0.0.0/8""]","[""10.0.0.0/8"", ""172.16.0.0/12"", ""192.168.0.0/16""]",https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-cna-01-aws-check,Validates security groups and VPCs restrict network traffic to vetted sources,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
AWS Cloud Infrastructure,Multi-cloud infrastructure security controls for AWS,Service,KSI-SVC-02,ksi-svc-02-aws,Protect data in transit using encryption TLS 1.2+ (AWS),minimum_tls_version,Minimum TLS version required for encrypted communications,TLSv1.2,TLSv1.2,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-02-aws-check,Validates load balancers and CloudFront use HTTPS with TLS 1.2+,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
AWS Cloud Infrastructure,Multi-cloud infrastructure security controls for AWS,Service,KSI-IAM-01,ksi-iam-01-aws,Require phishing-resistant multi-factor authentication for all interactive user accounts (AWS),require_hardware_mfa,Require hardware MFA devices instead of virtual MFA,false,false,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-iam-01-aws-check,Validates IAM policies require MFA for sensitive actions,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
AWS Cloud Infrastructure,Multi-cloud infrastructure security controls for AWS,Service,KSI-SVC-06,ksi-svc-06-aws,Manage and protect secrets using a dedicated secrets management solution (AWS),require_rotation,Require automatic rotation for secrets,true,true,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-06-aws-check,Validates secrets use KMS encryption and rotation is configured,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
AWS Cloud Infrastructure,Multi-cloud infrastructure security controls for AWS,Service,KSI-MLA-02,ksi-mla-02-aws,Implement comprehensive audit logging to track security events (AWS),min_log_retention_days,Minimum log retention period in days,90,90,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-mla-02-aws-check,Validates CloudTrail and CloudWatch logging configuration,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
Azure Cloud Infrastructure,Multi-cloud infrastructure security controls for Azure,Service,KSI-CNA-01,ksi-cna-01-azure,Restrict network traffic to only traffic from vetted locations or resources (Azure),allowed_ingress_cidrs,CIDR blocks allowed for network ingress traffic,"[""10.0.0.0/8""]","[""10.0.0.0/8"", ""172.16.0.0/12"", ""192.168.0.0/16""]",https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-cna-01-azure-check,Validates NSG rules and VNets restrict network traffic to vetted sources,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
Azure Cloud Infrastructure,Multi-cloud infrastructure security controls for Azure,Service,KSI-SVC-02,ksi-svc-02-azure,Protect data in transit using encryption TLS 1.2+ (Azure),minimum_tls_version,Minimum TLS version required for encrypted communications,TLS1_2,TLS1_2,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-02-azure-check,Validates App Gateway and Storage accounts use HTTPS with TLS 1.2+,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
Azure Cloud Infrastructure,Multi-cloud infrastructure security controls for Azure,Service,KSI-IAM-01,ksi-iam-01-azure,Require phishing-resistant multi-factor authentication for all interactive user accounts (Azure),require_hardware_mfa,Require hardware MFA devices instead of virtual MFA,false,false,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-iam-01-azure-check,Validates role assignments use Conditional Access for MFA,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
Azure Cloud Infrastructure,Multi-cloud infrastructure security controls for Azure,Service,KSI-SVC-06,ksi-svc-06-azure,Manage and protect secrets using a dedicated secrets management solution (Azure),require_rotation,Require automatic rotation for secrets,true,true,https://www.fedramp.gov/20x/key-security-indicators/,FedRAMP 20x Key Security Indicators,,,ksi-svc-06-azure-check,Validates Key Vault has protection enabled and secrets have expiration,conftest-terraform,Conftest validates Terraform plans against OPA policies,,,IMPLEMENTED,,http://fedramp.gov/ns/opa
